"doc_id","cause_num","date","date_f","court","judge","category","category_a","in_absentia","region","punishment","punishment_final"
117746602,"127/24714/22","2024-03-19","19 березня 2024","Вінницький міський суд Вінницької області","Іванченко Я. М.","Державна зрада","111","+","Вінницька область","позбавлення волі 14 років","позбавлення волі"
109441101,"127/25011/22","2023-03-07","7 березня 2023","Вінницький міський суд Вінницької області","Гайду Г. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","позбавлення волі 5 років","позбавлення волі"
111901715,"127/2504/23","2023-06-27","27 червня 2023","Вінницький міський суд Вінницької області","Гайду Г. В.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
115500167,"127/2514/23","2023-12-04","4 грудня 2023","Вінницький міський суд Вінницької області","Шидловський О. В.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
111274015,"127/26158/22","2023-06-01","1 червня 2023","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
113809731,"127/26784/22","2023-09-29","29 вересня 2023","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
116994537,"127/27428/22","2024-02-13","13 лютого 2024","Вінницький міський суд Вінницької області","Курбатова І. Л.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
113655853,"127/28083/22","2023-09-22","22 вересня 2023","Вінницький міський суд Вінницької області","Іванченко Я. М.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
115064892,"127/28980/23","2023-11-20","20 листопада 2023","Вінницький міський суд Вінницької області","Гайду Г. В.","Державна зрада","111","-","Вінницька область","позбавлення волі 15 років","позбавлення волі"
112824046,"127/3788/23","2023-08-15","15 серпня 2023","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
116754640,"127/39477/23","2024-02-05","5 лютого 2024","Вінницький міський суд Вінницької області","Іванченко Я. М.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
115595295,"127/4563/23","2023-12-08","8 грудня 2023","Вінницький міський суд Вінницької області","Курбатова І. Л.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
113548270,"127/5324/23","2023-09-19","19 вересня 2023","Вінницький міський суд Вінницької області","Іванченко Я. М.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
116377960,"127/5697/23","2024-01-18","18 січня 2024","Вінницький міський суд Вінницької області","Ковальчук Л. В.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
109714022,"127/5749/23","2023-03-22","22 березня 2023","Вінницький міський суд Вінницької області","Романчук Р. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","штраф 51000 грн","штраф"
115398898,"127/6766/23","2023-12-05","5 грудня 2023","Вінницький міський суд Вінницької області","Бернада Є. В.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
114785130,"127/6767/23","2023-11-06","6 листопада 2023","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Дії, спрямовані на насильницьку зміну чи повалення державної влади","109","-","Вінницька область","звільнили від покарання","умовне"
117269310,"127/6771/23","2024-02-27","27 лютого 2024","Вінницький міський суд Вінницької області","Бернада Є. В.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
114272802,"127/6777/23","2023-10-16","16 жовтня 2023","Вінницький міський суд Вінницької області","Курбатова І. Л.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
104202403,"127/7715/22","2022-05-06","6 травня 2022","Вінницький міський суд Вінницької області","Гайду Г. В.","Державна зрада","111","-","Вінницька область","позбавлення волі 15 років","позбавлення волі"
104565052,"127/7718/22","2022-05-31","31 травня 2022","Вінницький міський суд Вінницької області","Романчук Р. В.","Державна зрада","111","-","Вінницька область","позбавлення волі 15 років","позбавлення волі"
104152352,"127/7720/22","2022-05-03","3 травня 2022","Вінницький міський суд Вінницької області","Курбатова І. Л.","Державна зрада","111","-","Вінницька область","позбавлення волі 15 років","позбавлення волі"
104187522,"127/7722/22","2022-05-05","5 травня 2022","Вінницький міський суд Вінницької області","Курбатова І. Л.","Державна зрада","111","-","Вінницька область","позбавлення волі 15 років","позбавлення волі"
104329358,"127/7724/22","2022-05-13","13 травня 2022","Вінницький міський суд Вінницької області","Каленяк Р. А.","Державна зрада","111","-","Вінницька область","позбавлення волі 15 років","позбавлення волі"
104827380,"127/7726/22","2022-06-20","20 червня 2022","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Державна зрада","111","-","Вінницька область","позбавлення волі 5 років","позбавлення волі"
104251862,"127/7728/22","2022-05-11","11 травня 2022","Вінницький міський суд Вінницької області","Бернада Є. В.","Державна зрада","111","-","Вінницька область","позбавлення волі 15 років","позбавлення волі"
104373068,"127/7736/22","2022-05-18","18 травня 2022","Вінницький міський суд Вінницької області","Гайду Г. В.","Державна зрада","111","-","Вінницька область","позбавлення волі 15 років","позбавлення волі"
114272803,"127/7924/23","2023-10-13","13 жовтня 2023","Вінницький міський суд Вінницької області","Курбатова І. Л.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
114504391,"127/7926/23","2023-10-19","19 жовтня 2023","Вінницький міський суд Вінницької області","Гайду Г. В.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
115095035,"127/8359/23","2023-11-20","20 листопада 2023","Вінницький міський суд Вінницької області","Курбатова І. Л.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
111837369,"127/8364/23","2023-06-28","28 червня 2023","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
113679418,"127/8593/22","2023-09-07","7 вересня 2023","Вінницький міський суд Вінницької області","Курбатова І. Л.","Посягання на територіальну цілісність і недоторканність України","110","-","Вінницька область","позбавлення волі 5 років","позбавлення волі"
115332280,"127/8962/23","2023-11-22","22 листопада 2023","Вінницький міський суд Вінницької області","Шидловський О. В.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
106496418,"127/8963/22","2022-09-29","29 вересня 2022","Вінницький міський суд Вінницької області","Каленяк Р. А.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","позбавлення волі 3 роки","позбавлення волі"
115632389,"127/8974/23","2023-12-11","11 грудня 2023","Вінницький міський суд Вінницької області","Шидловський О. В.","Посягання на територіальну цілісність і недоторканність України","110","+","Вінницька область","позбавлення волі 15 років","позбавлення волі"
117297967,"127/9440/23","2024-02-21","21 лютого 2024","Вінницький міський суд Вінницької області","Гайду Г. В.","Виправдовування, заперечення збройної агресії Росії","436-2","+","Вінницька область","позбавлення волі 4 роки","позбавлення волі"
104602114,"127/9981/22","2022-06-03","3 червня 2022","Вінницький міський суд Вінницької області","Курбатова І. Л.","Державна зрада","111","-","Вінницька область","позбавлення волі 15 років","позбавлення волі"
107553233,"128/2106/22","2022-11-29","29 листопада 2022","Вінницький районний суд Вінницької області","Фанда О. А.","Дії, спрямовані на насильницьку зміну чи повалення державної влади","109","-","Вінницька область","штраф 29750 грн","штраф"
116566817,"128/5099/23","2024-01-26","26 січня 2024","Вінницький районний суд Вінницької області","Карпінська Ю. Ф.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","позбавлення волі 2 роки","позбавлення волі"
106018902,"130/1780/22","2022-09-01","1 вересня 2022","Жмеринський міськрайонний суд Вінницької області","Шепель К. А.","Колабораційна діяльність","111-1","-","Вінницька область","штраф 8500 грн","штраф"
110530951,"130/43/23","2023-04-28","28 квітня 2023","Жмеринський міськрайонний суд Вінницької області","Грушковська Л. Ю.","Державна зрада","111","-","Вінницька область","позбавлення волі 15 років","позбавлення волі"
105679231,"130/809/22","2022-08-11","11 серпня 2022","Жмеринський міськрайонний суд Вінницької області","Грушковська Л. Ю.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
104871717,"132/969/22","2022-06-22","22 червня 2022","Калинівський районний суд Вінницької області","Ставнійчук С. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
105261287,"134/849/22","2022-07-05","5 липня 2022","Крижопільський районний суд Вінницької області","Зарічанський В. Г.","Колабораційна діяльність","111-1","-","Вінницька область","позбавлення права на посади 12 років","позбавлення права на посади"
106423375,"135/342/21","2022-09-13","13 вересня 2022","Ладижинський міський суд Вінницької області","Корнієнко О. М.","Посягання на територіальну цілісність і недоторканність України","110","-","Вінницька область","звільнили від покарання","умовне"
114862670,"138/412/23","2023-09-11","11 вересня 2023","Могилів-Подільський міськрайонний суд Вінницької області","Савкова І. М.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
111453978,"139/305/23","2023-06-12","12 червня 2023","Мурованокуриловецький районний суд Вінницької області","Коломійцева В. І.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
109710489,"146/1557/22","2023-03-20","20 березня 2023","Томашпільський районний суд Вінницької області","Скаковська І. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
112601295,"146/556/23","2023-08-02","2 серпня 2023","Томашпільський районний суд Вінницької області","Скаковська І. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","позбавлення волі 5 років","позбавлення волі"
112976835,"147/203/23","2023-08-23","23 серпня 2023","Тростянецький районний суд Вінницької області","Натальчук О. А.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","позбавлення волі 1 рік 6 місяців","позбавлення волі"
112682906,"148/31/23","2023-08-07","7 серпня 2023","Вінницький міський суд Вінницької області","Кашпрук Г. М.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","позбавлення волі 5 років","позбавлення волі"
114272706,"149/1983/23","2023-10-19","19 жовтня 2023","Хмільницький міськрайонний суд Вінницької області","Гончарук-Аліфанова О. Ю.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","обмеження волі 1 рік 6 місяців","обмеження волі"
109417321,"149/2976/22","2023-03-06","6 березня 2023","Хмільницький міськрайонний суд Вінницької області","Робак М. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","звільнили від покарання","умовне"
107527479,"149/2978/22","2022-11-24","24 листопада 2022","Хмільницький міськрайонний суд Вінницької області","Павлюк О. О.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Вінницька область","штраф 37400 грн","штраф"
110898567,"154/1646/23","2023-05-16","16 травня 2023","Володимир-Волинський міський суд Волинської області","Лутай А. М.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","звільнили від покарання","умовне"
107330139,"154/3116/22","2022-11-15","15 листопада 2022","Володимир-Волинський міський суд Волинської області","Пустовойт Т. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","арешт 4 місяці","арешт"
114954876,"154/4226/23","2023-11-16","16 листопада 2023","Володимир-Волинський міський суд Волинської області","Каліщук А. А.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","звільнили від покарання","умовне"
111476271,"158/1802/23","2023-06-12","12 червня 2023","Ківерцівський районний суд Волинської області","Поліщук С. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","звільнили від покарання","умовне"
111341551,"158/2278/22","2023-06-06","6 червня 2023","Ківерцівський районний суд Волинської області","Костюкевич О. К.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","позбавлення волі 1 рік","позбавлення волі"
111904868,"159/3139/21","2023-06-30","30 червня 2023","Ковельський міськрайонний суд Волинської області","Волкова Ю. Ф.","Посягання на територіальну цілісність і недоторканність України","110","-","Волинська область","позбавлення волі 3 роки 3 місяці","позбавлення волі"
107304499,"159/4287/22","2022-11-14","14 листопада 2022","Ковельський міськрайонний суд Волинської області","Денисюк Т. В.","Поширення інформації про переміщення зброї, розміщення ЗСУ","114-2","-","Волинська область","звільнили від покарання","умовне"
114045179,"159/5404/23","2023-10-09","9 жовтня 2023","Ковельський міськрайонний суд Волинської області","Лесик В. О.","Посягання на територіальну цілісність і недоторканність України","110","-","Волинська область","звільнили від покарання","умовне"
109176858,"159/740/23","2023-02-23","23 лютого 2023","Ковельський міськрайонний суд Волинської області","Денисюк Т. В.","Посягання на територіальну цілісність і недоторканність України","110","-","Волинська область","арешт 4 місяці","арешт"
112015161,"161/10003/23","2023-07-05","5 липня 2023","Луцький міськрайонний суд Волинської області","Калькова О. А.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","звільнили від покарання","умовне"
105685264,"161/10041/22","2022-08-10","10 серпня 2022","Луцький міськрайонний суд Волинської області","Ясельський І. В.","Посягання на територіальну цілісність і недоторканність України","110","-","Волинська область","арешт 5 місяців","арешт"
104203667,"161/10051/21","2022-05-06","6 травня 2022","Луцький міськрайонний суд Волинської області","Марчук А. В.","Фінансування дій, вчинених з метою насильницької зміни чи повалення державної влади","110-2","-","Волинська область","звільнили від покарання","умовне"
113706879,"161/10891/23","2023-09-21","21 вересня 2023","Луцький міськрайонний суд Волинської області","Камінська К. О.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","арешт 1 місяць","арешт"
113014252,"161/10905/23","2023-08-23","23 серпня 2023","Луцький міськрайонний суд Волинської області","Артиш Я. Д.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","звільнили від покарання","умовне"
118219526,"161/11173/23","2024-04-09","9 квітня 2024","Луцький міськрайонний суд Волинської області","Данелюк О. М.","Колабораційна діяльність","111-1","+","Волинська область","позбавлення волі 12 років","позбавлення волі"
118131258,"161/11994/23","2024-04-03","3 квітня 2024","Луцький міськрайонний суд Волинської області","Артиш Я. Д.","Державна зрада","111","+","Волинська область","позбавлення волі 15 років","позбавлення волі"
117848103,"161/12338/23","2024-03-22","22 березня 2024","Луцький міськрайонний суд Волинської області","Данелюк О. М.","Колабораційна діяльність","111-1","+","Волинська область","позбавлення волі 11 років","позбавлення волі"
108939456,"161/12980/22","2023-02-13","13 лютого 2023","Луцький міськрайонний суд Волинської області","Покидюк В. М.","Колабораційна діяльність","111-1","+","Волинська область","позбавлення волі 15 років","позбавлення волі"
118324760,"161/13136/23","2024-04-11","11 квітня 2024","Луцький міськрайонний суд Волинської області","Полюшко А. В.","Колабораційна діяльність","111-1","+","Волинська область","позбавлення волі 9 років","позбавлення волі"
112961706,"161/13811/23","2023-08-21","21 серпня 2023","Луцький міськрайонний суд Волинської області","Полюшко А. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","звільнили від покарання","умовне"
111543427,"161/15454/22","2023-06-14","14 червня 2023","Луцький міськрайонний суд Волинської області","Полюшко А. В.","Колабораційна діяльність","111-1","+","Волинська область","позбавлення волі 14 років","позбавлення волі"
108029676,"161/15524/22","2022-12-23","23 грудня 2022","Луцький міськрайонний суд Волинської області","Полюшко А. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","звільнили від покарання","умовне"
107361315,"161/15571/22","2022-11-17","17 листопада 2022","Луцький міськрайонний суд Волинської області","Полюшко А. В.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","штраф 17000 грн","штраф"
118164606,"161/15794/23","2024-04-05","5 квітня 2024","Луцький міськрайонний суд Волинської області","Калькова О. А.","Державна зрада","111","+","Волинська область","позбавлення волі 15 років","позбавлення волі"
113909355,"161/16041/23","2023-10-02","2 жовтня 2023","Луцький міськрайонний суд Волинської області","Камінська К. О.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","звільнили від покарання","умовне"
108114701,"161/16693/22","2022-12-27","27 грудня 2022","Луцький міськрайонний суд Волинської області","Артиш Я. Д.","Поширення інформації про переміщення зброї, розміщення ЗСУ","114-2","-","Волинська область","звільнили від покарання","умовне"
118102635,"161/17712/22","2024-04-03","3 квітня 2024","Луцький міськрайонний суд Волинської області","Артиш Я. Д.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","звільнили від покарання","умовне"
114741979,"161/17978/23","2023-11-07","7 листопада 2023","Луцький міськрайонний суд Волинської області","Данелюк О. М.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","звільнили від покарання","умовне"
109102763,"161/1859/23","2023-02-21","21 лютого 2023","Луцький міськрайонний суд Волинської області","Покидюк В. М.","Посягання на територіальну цілісність і недоторканність України","110","-","Волинська область","звільнили від покарання","умовне"
113341455,"161/2177/23","2023-09-11","11 вересня 2023","Луцький міськрайонний суд Волинської області","Покидюк В. М.","Колабораційна діяльність","111-1","+","Волинська область","позбавлення волі 3 роки","позбавлення волі"
102797887,"161/22606/21","2022-01-27","27 січня 2022","Луцький міськрайонний суд Волинської області","Артиш Я. Д.","Фінансування дій, вчинених з метою насильницької зміни чи повалення державної влади","110-2","-","Волинська область","звільнили від покарання","умовне"
103821249,"161/3451/22","2022-04-01","1 квітня 2022","Луцький міськрайонний суд Волинської області","Покидюк В. М.","Посягання на територіальну цілісність і недоторканність України","110","-","Волинська область","звільнили від покарання","умовне"
109616713,"161/3669/23","2023-03-16","16 березня 2023","Луцький міськрайонний суд Волинської області","Калькова О. А.","Виправдовування, заперечення збройної агресії Росії","436-2","-","Волинська область","звільнили від покарання","умовне"
